"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1663","test_order_modal_opens","tests","Fri May 02 17:53:45 MSK 2025","passed","Fri May 02 17:53:47 MSK 2025","","test_feed_modal","",""
"","2903","test_navigate_to_reset_password_page[empty_email]","tests","Fri May 02 17:56:16 MSK 2025","passed","Fri May 02 17:56:19 MSK 2025","","test_reset_password","",""
"","22861","test_total_done_increase_after_order[valid_user]","tests","Fri May 02 17:56:50 MSK 2025","passed","Fri May 02 17:57:13 MSK 2025","","test_total_done_increase_after_order","",""
"","12010","test_account_page[empty_password]","tests","Fri May 02 17:52:26 MSK 2025","passed","Fri May 02 17:52:38 MSK 2025","","test_account_page","",""
"","12162","test_account_page[empty_email]","tests","Fri May 02 17:52:09 MSK 2025","passed","Fri May 02 17:52:21 MSK 2025","","test_account_page","",""
"","3261","test_account_page[valid_credentials]","tests","Fri May 02 17:51:37 MSK 2025","passed","Fri May 02 17:51:41 MSK 2025","","test_account_page","",""
"","2428","test_navigation_to_order_feed","tests","Fri May 02 17:55:04 MSK 2025","passed","Fri May 02 17:55:06 MSK 2025","","test_order_feed_navigation","",""
"","2253","test_navigate_to_reset_password_page[invalid_email_format]","tests","Fri May 02 17:56:09 MSK 2025","passed","Fri May 02 17:56:12 MSK 2025","","test_reset_password","",""
"","1939","test_ingredient_modal_opens","tests","Fri May 02 17:53:59 MSK 2025","passed","Fri May 02 17:54:00 MSK 2025","","test_ingredient_modal","",""
"","13828","test_order_ingredient[valid_user]","tests","Fri May 02 17:55:17 MSK 2025","passed","Fri May 02 17:55:31 MSK 2025","","test_order_ingredient","",""
"","1743","test_navigation_to_constructor","tests","Fri May 02 17:53:32 MSK 2025","passed","Fri May 02 17:53:34 MSK 2025","","test_constructor_navigation","",""
"","1708","test_navigate_to_forgot_password_page","tests","Fri May 02 17:53:10 MSK 2025","passed","Fri May 02 17:53:12 MSK 2025","","test_click_forgot_password","",""
"","2695","test_order_history_page[valid_user]","tests","Fri May 02 17:55:10 MSK 2025","passed","Fri May 02 17:55:13 MSK 2025","","test_order_history_page","",""
"","3249","test_navigate_to_reset_password_page[valid_email]","tests","Fri May 02 17:56:02 MSK 2025","passed","Fri May 02 17:56:05 MSK 2025","","test_reset_password","",""
"","3697","test_logout[valid_user]","tests","Fri May 02 17:54:25 MSK 2025","passed","Fri May 02 17:54:29 MSK 2025","","test_logout","",""
"","11957","test_account_page[invalid_credentials]","tests","Fri May 02 17:51:45 MSK 2025","passed","Fri May 02 17:51:57 MSK 2025","","test_account_page","",""
"","3029","test_modal_close_on_click","tests","Fri May 02 17:53:51 MSK 2025","passed","Fri May 02 17:53:54 MSK 2025","","test_ingredient_close_modal","",""
"","2193","test_order_list_visible_on_feed_page","tests","Fri May 02 17:55:56 MSK 2025","passed","Fri May 02 17:55:58 MSK 2025","","test_order_list","",""
"","2918","test_password_visibility_on_eye_icon_click[valid_email]","tests","Fri May 02 17:53:38 MSK 2025","passed","Fri May 02 17:53:41 MSK 2025","","test_eye_icon","",""
"","23947","test_add_ingredient_in_basket[add_two_ingredients]","tests","Fri May 02 17:52:42 MSK 2025","passed","Fri May 02 17:53:06 MSK 2025","","test_add_ingredient","",""
"","23477","test_total_today_increase_after_order[valid_user]","tests","Fri May 02 17:57:17 MSK 2025","passed","Fri May 02 17:57:40 MSK 2025","","test_total_today_increase_after_order","",""
"","26475","test_order_appears_in_progress[valid_user]","tests","Fri May 02 17:54:33 MSK 2025","passed","Fri May 02 17:54:59 MSK 2025","","test_order_appears_in_progress","",""
"","2348","test_navigate_to_reset_password_page[very_long_email]","tests","Fri May 02 17:56:23 MSK 2025","passed","Fri May 02 17:56:25 MSK 2025","","test_reset_password","",""
